x1,x2,x3,x4,x5,y
0.33590655,-0.881707068,-0.635150169,0.074273026,-0.7868089,2.868046451
-0.821347948,-1.332442678,1.445353289,0.609055214,0.330341876,0.016397975
-0.178155828,0.394155593,2.252874881,-0.324460506,1.960237054,-1.185097721
2.089420736,-2.857501007,1.50732119,0.478401934,-0.861507731,1.751073908
1.083199448,-0.174482141,2.860786286,-1.276625047,1.417153514,0.681984571
1.790120798,-1.028757909,-0.190857315,-0.692885392,0.127216019,3.102230337
0.035056152,0.88182458,2.580850369,-0.811332295,0.454315136,-2.405726688
0.463828775,-1.701187785,1.354637522,1.111118994,-0.896020387,-0.198588166
1.90097973,-0.282045813,0.483323192,0.30919305,1.319847491,1.941940977
0.187248805,-1.46491147,1.799688044,1.166679094,0.520856344,-0.341474935
-0.996963146,-0.950064142,0.076372001,0.080117309,-0.517787717,0.173697093
-1.410612092,-0.429760766,2.230190654,0.648126574,-0.924457398,-2.254873324
-1.142197292,-0.419403524,-1.387318294,1.171414197,1.473564256,3.203840686
-1.144418055,-0.205113892,0.973790362,-1.751010742,-0.610588136,-0.277872701
0.653356866,-1.900649389,1.719768266,1.603463855,1.741649004,1.086485133
0.808661245,-0.322506941,-0.980526959,-0.137151125,0.076896249,4.062863524
0.068757755,-0.577240141,0.87314683,0.167951287,0.069103657,1.537700148
1.194841284,-0.781733739,-0.262199774,2.634510612,-0.064704414,2.41363218
0.021616923,-1.315859606,-1.820784563,-1.224955771,-0.583004871,3.597989615
1.386566321,-0.469504048,0.024406348,0.131746913,0.436947718,2.499331293
1.605151117,-0.449034048,-0.330408158,1.963055742,-1.499846994,1.545299169
-0.890500744,-0.760189854,-0.617112329,0.434063346,0.825023523,3.320302904
-1.334323308,-0.013456474,-0.062886052,-1.347404815,-0.346119767,-0.383306176
-0.487421529,-1.347411974,2.063672438,3.274524152,0.841687395,-0.588572807
1.515935568,0.829148253,0.480316113,3.254930474,-1.168441099,-0.158886234
-0.110902706,-2.051365967,-2.30550469,-0.461412862,-1.455020625,4.053863332
-0.359163756,-1.442445381,0.39121377,0.418785399,0.356515401,1.003267656
0.589385926,-1.414055008,-0.854932658,0.913193318,1.332350106,4.853778857
1.630033254,-0.102247616,-0.38363486,0.47411675,0.117288149,3.401893753
-0.983441245,1.031135098,1.689464773,-1.79411806,-1.891674525,-3.144767775
-0.021149168,0.060707321,2.113341868,0.838801001,-0.331916908,0.261270501
-1.059260389,-0.56825226,1.831217775,-0.239740153,-0.557152959,-2.427027734
0.588868079,-2.074310097,-0.965478107,1.94043418,0.597305683,5.975781582
-1.159238975,-0.206856874,0.727968327,-0.144991943,-0.706834794,-1.195562223
1.006990908,-0.889965637,1.06622699,-0.017736772,-0.946778085,0.718380669
-0.148717531,-0.97564383,2.21777968,0.706230634,-1.000899028,-3.458820119
1.007999408,0.429998107,1.224870827,0.677618949,-1.514606388,-0.683536564
1.066920182,-0.627889856,-0.007281758,-0.814019616,1.666173216,4.144672509
-0.880459547,-0.627382346,0.15474213,1.305085382,-0.403840608,0.590344907
-1.819126782,-0.327611172,2.446703496,-0.253747673,-0.336964382,-2.91591166
0.71073026,-1.377231983,2.008585818,-0.063187794,1.076551748,1.528275801
0.097189587,-2.263819184,1.296456466,1.892568499,0.220526258,-0.024848006
-1.484358777,0.338857513,2.58595331,0.363404744,-0.500675186,-3.930238847
1.546359331,0.676085407,0.579100636,-0.998921808,0.014030998,1.802884688
1.386904216,-1.674202913,1.731953535,-0.46558066,0.129417553,1.23302848
-1.054250667,-0.039208032,1.301920664,0.163438374,0.399504505,-0.676031459
-1.382167248,0.468279215,0.624622869,0.412198969,0.146737362,-0.785493885
-0.824056273,-1.145376445,0.302196187,0.81250258,0.125021229,0.797804914
-1.155251405,-0.159923346,0.042438749,0.992245044,-1.223913843,-0.397455592
1.19028332,-2.082447065,1.453984979,-0.71278433,0.904450097,2.983004411
-1.894913549,0.063296994,-0.632889505,-0.177959444,1.439084606,0.632264962
1.218607571,0.105586569,-1.268689655,3.711537526,-0.761875884,4.346655401
1.307330032,-0.466026012,0.420634014,0.480259432,-0.002840561,4.135620575
2.55339928,-0.573737324,0.047928304,-1.249683803,-0.188698222,2.809881362
0.156927409,-0.615090456,-1.986594193,0.703556048,0.585672484,4.376749407
1.255496356,1.312076899,0.101205653,0.409510934,-0.185541124,1.571560332
-0.072482105,0.485712354,-1.175631707,0.96769601,0.828400015,3.283072249
-0.251183223,-0.847008505,-0.057028648,0.502023289,-0.743652977,1.173751342
-0.330111415,-1.479002335,0.907341199,0.434340179,0.279218971,-1.733153391
-0.160157776,-1.279749913,0.242274725,-0.226354309,-1.167091156,0.493505173
-0.466801736,-1.404283368,0.213309795,1.741997499,-0.681448176,-0.09071887
2.887268976,-1.070178997,3.164686246,0.445379911,0.604498012,0.650839183
1.148427445,-2.447433495,-0.863869524,1.635739567,0.019481349,3.036477217
0.112502553,-0.042400392,0.383527186,2.051742183,-0.127544848,1.00983852
2.113317236,1.934391074,3.244413167,1.048600589,0.349331001,-2.416168915
-1.143329848,-0.358722049,-0.772147072,0.273265996,-0.366830539,0.615222005
0.411303705,-2.183901165,1.002736607,1.354409784,0.242712597,1.346838852
0.378521953,-0.851993789,0.453110646,0.402684616,0.822260152,2.566060169
-1.474780318,-0.2846645,0.710929446,-1.590821548,-0.393177426,1.879765856
0.507885454,-0.250242513,1.620760916,1.624025868,0.294734981,-2.669331947
-0.301754697,0.04378489,0.792088935,0.082273275,1.407621762,0.643604493
