prob_class1,ci_lower,ci_upper
0.9703676164841383,0.9005835736914947,0.9916232958522377
0.7460859263225939,0.6149733783865708,0.8438849872581481
0.0055485806178614,0.000874702150149426,0.03433850115809466
0.011832541486432613,0.001960569617292375,0.06802443352686852
0.30631534665612137,0.19327485680419987,0.44869743357853636
0.955765848004974,0.8771004594633278,0.984943542169192
0.2747054676287235,0.15965420111598605,0.43022004921389373
0.7357924664431961,0.6177668592274765,0.8275476893889677
0.511081823606334,0.4180674504396995,0.6033350885420075
0.9984197122847003,0.9858636076494893,0.9998253178980745
0.5255813785082022,0.34034508789582857,0.7040349540726303
0.4335957059460651,0.3521104059013481,0.5188371724629841
0.07162996180334631,0.030294584062243404,0.1600561261998409
0.6144074276200742,0.4650169177731565,0.7449609782744552
0.48226305128454455,0.2908200880020834,0.6790586865022448
0.4337235328268151,0.30137229154353096,0.5762557372853899
0.8935042207842887,0.7754557408101844,0.9532344174890532
0.483634302269319,0.23016498518374523,0.7458135303305492
0.9994180274092883,0.9912437602244242,0.999961615414543
0.5865243769579956,0.3999339888830925,0.7511904561522638
0.8170960237633575,0.6890971023199879,0.9000417987293331
0.786646899156519,0.6617071105405119,0.8742148531149047
0.3271875939728881,0.2251403533409009,0.448704157006373
0.7250018883099023,0.560193976730719,0.845125590828076
0.9201897283336127,0.8086653900529303,0.9691861931853994
0.13766338211206017,0.0697700571430227,0.25361169464055117
0.5051919730591327,0.42457137163732234,0.5855434772103559
0.8361117264584857,0.6919573745083311,0.9205518291613634
0.08292646251166526,0.03336805856699165,0.19150691773874004
0.37680073029248856,0.20754988568061591,0.5826005591188111
0.3627087056872496,0.27559182888968486,0.45988155981680795
0.9198280696899588,0.8110766732950042,0.9684158228278449
0.09429239284067338,0.034660051818238266,0.23187759487473197
0.19224351598494083,0.11949385282020254,0.29447179524370665
0.38099597314951433,0.28240104203987787,0.49048532840512016
0.12857508566816891,0.04553402281409193,0.31334200218011077
0.18900928741221817,0.10991629704788197,0.30548257109522015
0.4103776523241836,0.32966566663210256,0.4962222656057489
0.2230327857404547,0.13654505147683507,0.3425678940262756
0.9078764281823622,0.7995734386241025,0.9605444060284231
0.9178654884807752,0.8171160707953712,0.9654589683187922
0.3220339370803114,0.17752797639255818,0.5110746043314769
0.6046927120048928,0.405578099590701,0.7742365885641567
0.6784530891140772,0.5721046284443781,0.769040382085999
0.11861736924734721,0.0582604788833882,0.22646630040053475
0.137552500764816,0.06941727702316577,0.25428988777621697
0.29064897877773554,0.21359763149701647,0.3819938566769322
0.7325516809613523,0.5986328977674995,0.8341657064548744
0.6342943998454758,0.53010010823878,0.7272714723109953
0.1138492726496429,0.05444991951597068,0.22278015390085684
0.20205102566193237,0.10469644217714441,0.3541261327223994
0.45913900163551336,0.3593306228294986,0.5623369712426833
0.6897732851374112,0.5528736059753006,0.7999258689316237
0.12165629954919674,0.058592510209537894,0.235608774700085
0.5775872162272736,0.4204398434224724,0.7204552611288539
0.3065663963022907,0.2236743670194455,0.4041840461417208
0.9930563787234687,0.9636102789507969,0.9987070401213511
0.5679727285385902,0.478537967375724,0.6531853154296766
0.8943496106398415,0.7326686244408127,0.96316293817124
0.8382283834707989,0.713933058289381,0.9149512921902087
0.877116501418341,0.6761910546482575,0.9606261784572513
0.7663841833116287,0.6213037302229606,0.8677174166261202
0.7432613432606446,0.6044854491058068,0.8457681255471544
0.903013983147983,0.7855779756688867,0.959451729627019
0.9376459233508007,0.829573252222783,0.9789273377413885
0.4549098618579629,0.37045058616929116,0.5420456025226987
0.09482918570489103,0.033338351877682144,0.24141218321233465
0.3208193597208401,0.19022813771174624,0.487130508855221
0.061011190441568566,0.015702360450023812,0.20926272551110367
0.42674565938428455,0.3471490951498912,0.5103264854984204
0.7402234298155883,0.6074912651100198,0.8398996088356303
0.1605188407342866,0.08745158270926369,0.27616007793559605
0.4374749567996411,0.3178523398667258,0.5648395331777644
0.2748717259393721,0.12390090783078962,0.5039771724319924
0.4425794578884826,0.33084154006998284,0.560448250863745
0.3812694768037409,0.27859389232353665,0.4957801631131137
0.4151315506167221,0.3306477658032968,0.5049182897769531
0.37972038759081383,0.297854144873373,0.46905630246933255
0.281401982296443,0.17021384650458335,0.42777781848913715
0.08358720711627217,0.03952157896065878,0.1681818288575069
0.6524992258879863,0.5475506681150167,0.7444650853203744
0.6812679212431689,0.5486645831796594,0.7898353188462779
0.9361843074005136,0.8377936854070316,0.9765630088907455
0.9344362524587053,0.8458920040258942,0.9736889506516244
0.49619922671790506,0.41106703793256416,0.5815523687358061
0.007908321137200162,0.0013069834073497382,0.04630586791968141
0.4182493046592756,0.26761679189039383,0.5858460237434218
0.5668563536194813,0.47085282536308143,0.6580899758072707
0.03993529125663676,0.011726837881814034,0.1272604459726772
0.8466194523370318,0.7302904586732091,0.918381859608988
0.9983351295059145,0.9854546567877424,0.9998116181497322
0.49548100921093,0.32152259155050467,0.6705404537333339
0.2313430426066472,0.139595536760783,0.3582810016734906
0.7222157509260732,0.5449237162337184,0.8495118598051311
0.6355183152321435,0.459449307699876,0.7815102257480645
0.44603121487000824,0.3446659402314591,0.5520929426036066
0.20263454139491086,0.12942292970887823,0.30285329142149436
0.7316378685246129,0.551118414939289,0.8582348749311484
0.656982221832109,0.4363383158987451,0.825747794522347
0.4545596379754268,0.3439584787451228,0.5698341280147066
